RID;Sample;ParticipantId
45972;2002738796;41704
45973;2002738818;40392
45974;2002738841;40525
45977;2002738830;37571
45979;2002710875;35386
45980;2002738803;40809
45981;2002738853;41532
45982;2002738815;40860
45984;2002710854;41636
45985;2002738864;40567
45986;2002738819;40798
46078;2002710915;41028
46079;2000927371;40083
46080;2002710864;40856
46081;2002710924;40705
46082;2002710935;41691
46084;2002710900;40979
46085;2002710865;40991
46086;2002710857;41059
46089;2002710926;40561
46090;2002710887;40838
46092;2000931601;38722
46095;2000931648;40966
46096;2000927454;40818
46097;2000931625;40891
46098;2002710940;41566
46101;2000931673;40970
46102;2000931614;42306
46103;2000931657;41582
46104;2002710888;40669
46105;2002710939;41042
46106;2002710936;39900
46107;2000931599;41627
46201;2000927432;42231
46202;2000931669;41601
46203;2000927384;42292
46205;2000927444;26768
46207;2000931587;40967
46208;2000927443;40482
46209;2000931626;40017
46211;2000931590;40962
46214;2000931647;40911
46215;2000931645;40665
46218;2000931670;41613
46219;2000931661;41037
46221;2000931674;40877
46224;2000931635;41362
46226;2000927455;40497
46227;2000931600;41064
46228;2000927431;37210
46229;2000931638;41026
46230;2000927396;41305
46231;2000931613;40982
46314;2000931672;40981
46315;2000931662;41652
46317;2002689058;41182
46318;2002689032;41310
46319;2002689141;41213
46320;2002689055;42459
46321;2002689093;41185
46322;2000931650;40958
46325;2002689118;41050
46326;2002689069;41062
46328;2002689007;41318
46330;2002689117;41000
46331;2002689056;41343
46332;2002689094;38090
46333;2002689057;41128
46334;2000931691;41075
46335;2002689106;41124
46408;2002689177;41002
46409;2002689187;40851
46410;2002689175;41161
46411;2002689247;41038
46412;2002689201;41165
46413;2002689222;41321
46414;2002689198;41154
46416;2002689243;41065
46417;2002689233;41284
46419;2002689232;41563
46421;2002689176;41233
46422;2002689188;36657
46425;2002689200;41099
46427;2002689221;41131
46428;2002689235;41087
46429;2002689212;39011
46431;2002689162;41006
46432;2002689185;36656
46433;2002689202;40974
46434;2002689208;42407
46520;2002713276;41114
46522;2002689072;40976
46523;2002713286;41337
46525;2002713263;41103
46526;2002689071;41134
46527;2002689108;41080
46528;2002713257;40647
46529;2002713287;41086
46530;2002713261;42218
46531;2002713288;40450
46532;2002689095;41210
46533;2002713334;41109
46534;2002713322;41223
46535;2002689142;41040
46537;2002689131;41178
46538;2002713321;41216
46539;2002689060;40329
46540;2002689084;36058
46541;2002689059;40832
46542;2002713275;41225
46543;2002689083;41331
46547;2002713251;41097
46647;2002713274;40941
46648;2002713273;40874
46650;2002713258;41094
46651;2002713303;41224
46653;2002713291;41176
46655;2002713316;41077
46656;2002713339;40963
46657;2002713292;41319
46658;2002713279;29279
46661;2002713254;41012
46663;2002713255;40916
46665;2002713256;41091
46666;2002713306;41119
46667;2002713297;40939
46668;2002713315;41120
46708;2002738747;41648
46709;2002738760;41271
46710;2002689173;41265
46713;2002738722;41025
46714;2002689207;41255
46715;2002738782;41459
46716;2002689164;32806
46717;2002689151;41085
46719;2002738735;41261
46783;2002713304;38431
46784;2002688665;37130
46785;2002688605;42807
46786;2002688629;40690
46787;2002713250;40893
46788;2002688703;38190
46790;2002688617;42611
46792;2002688679;41266
46794;2002688640;41262
46795;2002688618;41116
46796;2002688580;41046
46797;2002688594;42684
46798;2002688642;40810
46800;2002688582;40839
46801;2002688593;41184
46802;2002688641;41385
46804;2002713327;41398
46805;2002688680;42390
46881;2002738770;41341
46882;2002689210;41169
46883;2002689152;41417
46884;2002689244;41339
46885;2002689145;41027
46886;2002738745;41537
46887;2002738783;41451
46888;2002689159;41175
46889;2002738759;41301
46891;2002689160;41048
46892;2002738784;40968
46893;2002689195;41449
46895;2002738723;40291
46896;2002738781;40327
46898;2002738711;41435
46899;2002711161;41067
46900;2002738758;41107
46901;2002738769;40795
46996;2002753041;42579
46998;2002713383;41092
46999;2002753054;41209
