Sample ID	att exkludera	Array Info.Sentrix ID	Array Info.Sentrix Position
EPH1_2000927376.1_169R02C02	X	9275885095	R02C02
EPH1_2000927384.1_169R01C01	X	9275885095	R01C01
EPH1_2000927436.1_169R01C02	X	9275885095	R01C02
EPH1_2002688536.1_156R02C01	X	9275883135	R02C01
EPH1_2002688548.1_156R01C01	X	9275883135	R01C01
EPH1_2002688557.1_156R01C02	X	9275883135	R01C02
EPH1_2002688748.1_162R01C01	X	9275884009	R01C01
EPH1_2002689233.1_158R05C01	X	9275883141	R05C01
EPH1_2002689236.1_169R03C02	X	9275885095	R03C02
EPH1_2002692925.1_144R03C02	X	9275885121	R03C02
EPH1_2002709081.1_16R01C02	X	9274735162	R01C02
EPH1_2002710129.1_16R02C01	X	9274735162	R02C01
EPH1_2002734488.1_165R02C01	X	9275884054	R02C01
EPH1_2002738541.1_64R01C01	X	9275844100	R01C01
EPH1_2002738661.1_149R06C02	X	9275882011	R06C02
EPH1_2002754172.1_43R01C02	X	9275879028	R01C02
EPH1_2002754195.1_43R04C02	X	9275879028	R04C02
EPH1_2002780249.1_134R02C02	X	9275884158	R02C02
EPH1_2002857605.1_165R01C01	X	9275884054	R01C01
EPH1_2002971288.1_134R03C02	X	9275884158	R03C02
EPH1_2003042405.1_44R02C01	X	9275879146	R02C01
EPH1_2003290433.1_64R02C02	X	9275844100	R02C02
EPH1_2003290481.1_107R04C01	X	9275884103	R04C01
EPH1_2003352112.1_16R01C01	X	9274735162	R01C01
EPH1_2003352133.1_165R01C02	X	9275884054	R01C02
EPH1_2003352143.1_165R02C02	X	9275884054	R02C02
EPH1_2003352462.1_64R02C01	X	9275844100	R02C01
EPH1_2003353047.1_155R04C02	X	9275883122	R04C02
EPH1_2003353059.1_155R03C02	X	9275883122	R03C02
EPH1_2003353060.1_155R02C02	X	9275883122	R02C02
EPH1_2003403897.1_168R01C02	X	9275884075	R01C02
EPH1_2003403910.1_168R02C01	X	9275884075	R02C01
EPH1_2003555927.1_127R02C02	X	9275884067	R02C02
EPH1_2003555936.1_127R01C02	X	9275884067	R01C02
CEP_C1.3_200R05C02		9275879131	R05C02
CEP_C1.3_4R04C02		9274736008	R04C02
CEP_C1.3_66R04C02		9275879153	R04C02
CEP_C10.2_119R04C02		9275885161	R04C02
CEP_C11.2_100R04C02		9275878117	R04C02
CEP_C13.3_122R04C02		9275878126	R04C02
CEP_C13.3_27R04C02		9274736093	R04C02
CEP_C13.3_5R05C02		9274736024	R05C02
CEP_C14.4_144R04C02		9275885121	R04C02
CEP_C14.4_46R04C02		9275879160	R04C02
CEP_C14.4_5R06C02		9274736024	R06C02
CEP_C15.3_133R04C02		9275884144	R04C02
CEP_C15.3_49R04C02		9275884084	R04C02
CEP_C16.3_191R04C02		9275884027	R04C02
CEP_C16.3_40R04C02		9275844082	R04C02
CEP_C2.2_14R04C02		9271671074	R04C02
CEP_C2.2_202R05C02		9275884070	R05C02
CEP_C2.2_214R04C02		9275884053	R04C02
CEP_C3.3_167R04C02		9275884074	R04C02
CEP_C4.3_151R04C02		9275882142	R04C02
